"","HHID","HHSPLITID","STATEID","DISTID","PSUID","NR8","Remittance","NR13B","NR10","NR5","Age","num_non_res","marital_status","relation_to_hh","INCOME","INCOMEPC","INCREMIT","hh_size","COPC","URBAN2011","edu_level","edu_num","Gender","married","unmarried","widowed","urban","non_resident_remits","hhY_minus_Remt","log_hhY_minus_Remt","states_numeric","EAG"
"3682",130,1,"(09) Uttar Pradesh 09",3,7,"(2) another state",15000,NA,"(12) High Secondary","(1) Male",38,2,"(1) Married","(03) Son/Daughter",11113,5556.5,27000,2,38770,"(0) rural 0","Classes 11-12","3",1,1,0,0,0,TRUE,-3887,-8.26539293085222,9,0
"3683",130,1,"(09) Uttar Pradesh 09",3,7,"(2) another state",12000,NA,"(12) High Secondary","(1) Male",30,2,"(1) Married","(03) Son/Daughter",11113,5556.5,27000,2,38770,"(0) rural 0","Classes 11-12","3",1,1,0,0,0,TRUE,-887,-6.78784498230958,9,0
"3684",140,1,"(09) Uttar Pradesh 09",3,7,"(2) another state",NA,NA,"(08) 8th class","(2) Female",43,2,"(3) Widowed","(06) Father/Mother",46360,15453.3330078,NA,3,20336.6660156,"(0) rural 0","Classes 6-10","2",0,0,0,1,0,FALSE,46360,10.7441922974537,9,0
"3685",140,1,"(09) Uttar Pradesh 09",3,7,"(2) another state",NA,NA,"(14) 2 years post-secondary","(1) Male",22,2,"(2) Unmarried","(03) Son/Daughter",46360,15453.3330078,NA,3,20336.6660156,"(0) rural 0","1-2 years post-secondary","4",1,0,1,0,0,FALSE,46360,10.7441922974537,9,0
"3686",150,1,"(09) Uttar Pradesh 09",3,7,"(1) same state",NA,15000,"(10) Secondary","(2) Female",37,1,"(1) Married","(02) Wife/Husband",140248,46749.3320313,NA,3,34006.6679688,"(0) rural 0","Classes 6-10","2",0,1,0,0,0,FALSE,140248,11.8511675630337,9,0
"3687",160,1,"(09) Uttar Pradesh 09",3,7,"(2) another state",6000,NA,"(05) 5th class","(1) Male",24,1,"(1) Married","(03) Son/Daughter",178600,44650,6000,4,26630,"(0) rural 0","Classes 1-5","1",1,1,0,0,0,TRUE,172600,12.0587320576315,9,0
"3688",180,1,"(09) Uttar Pradesh 09",3,7,"(2) another state",NA,NA,"(10) Secondary","(2) Female",18,1,"(2) Unmarried","(03) Son/Daughter",31400,7850,NA,4,13658.5,"(0) rural 0","Classes 6-10","2",0,0,1,0,0,FALSE,31400,10.3545631718963,9,0
"3689",200,1,"(09) Uttar Pradesh 09",3,7,"(2) another state",24000,NA,"(12) High Secondary","(1) Male",29,2,"(1) Married","(02) Wife/Husband",57950,8278.5712891,24000,7,28875.4277344,"(0) rural 0","Classes 11-12","3",1,1,0,0,0,TRUE,33950,10.4326441329868,9,0
"3690",200,1,"(09) Uttar Pradesh 09",3,7,"(2) another state",NA,NA,"(00) none","(1) Male",6,2,"(2) Unmarried","(03) Son/Daughter",57950,8278.5712891,24000,7,28875.4277344,"(0) rural 0","None","0",1,0,1,0,0,FALSE,57950,10.9673358487679,9,0
"3691",10,1,"(09) Uttar Pradesh 09",3,8,"(1) same state",NA,NA,"(10) Secondary","(1) Male",50,2,"(1) Married","(02) Wife/Husband",42700,7116.6665039,NA,6,12080,"(1) urban 1","Classes 6-10","2",1,1,0,0,1,FALSE,42700,10.6619541992167,9,0
"3692",10,1,"(09) Uttar Pradesh 09",3,8,"(2) another state",NA,14000,"(15) Bachelors","(1) Male",22,2,"(2) Unmarried","(03) Son/Daughter",42700,7116.6665039,NA,6,12080,"(1) urban 1","Bachelors","5",1,0,1,0,1,FALSE,42700,10.6619541992167,9,0
"3693",120,1,"(09) Uttar Pradesh 09",3,8,"(2) another state",30000,NA,"(08) 8th class","(1) Male",40,1,"(1) Married","(02) Wife/Husband",30400,3377.777832,30000,9,8734.2226563,"(1) urban 1","Classes 6-10","2",1,1,0,0,1,TRUE,400,5.99146454710798,9,0
"3694",130,1,"(09) Uttar Pradesh 09",3,8,"(1) same state",14000,NA,"(05) 5th class","(1) Male",25,3,"(1) Married","(02) Wife/Husband",29300,4883.3334961,29000,6,20598.3339844,"(1) urban 1","Classes 1-5","1",1,1,0,0,1,TRUE,15300,9.63560810738053,9,0
"3695",130,1,"(09) Uttar Pradesh 09",3,8,"(1) same state",10000,NA,"(00) none","(1) Male",23,3,"(1) Married","(02) Wife/Husband",29300,4883.3334961,29000,6,20598.3339844,"(1) urban 1","None","0",1,1,0,0,1,TRUE,19300,9.86786037489298,9,0
"3696",130,1,"(09) Uttar Pradesh 09",3,8,"(1) same state",5000,NA,"(09) 9th class","(1) Male",20,3,"(2) Unmarried","(03) Son/Daughter",29300,4883.3334961,29000,6,20598.3339844,"(1) urban 1","Classes 6-10","2",1,0,1,0,1,TRUE,24300,10.0982316293286,9,0
"3697",140,1,"(09) Uttar Pradesh 09",3,8,"(1) same state",12000,NA,"(10) Secondary","(1) Male",19,2,"(1) Married","(03) Son/Daughter",71800,11966.6669922,22000,6,12560,"(1) urban 1","Classes 6-10","2",1,1,0,0,1,TRUE,59800,10.9987609399387,9,0
"3698",140,1,"(09) Uttar Pradesh 09",3,8,"(1) same state",10000,NA,"(08) 8th class","(1) Male",17,2,"(1) Married","(03) Son/Daughter",71800,11966.6669922,22000,6,12560,"(1) urban 1","Classes 6-10","2",1,1,0,0,1,TRUE,61800,11.0316586434458,9,0
"3699",50,1,"(09) Uttar Pradesh 09",3,9,"(1) same state",NA,NA,"(05) 5th class","(1) Male",70,1,"(1) Married","(06) Father/Mother",65960,13192,NA,5,17679,"(1) urban 1","Classes 1-5","1",1,1,0,0,1,FALSE,65960,11.0968037766735,9,0
"3700",60,1,"(09) Uttar Pradesh 09",3,9,"(1) same state",NA,NA,"(05) 5th class","(1) Male",55,1,"(1) Married","(02) Wife/Husband",144300,18037.5,NA,8,27549,"(1) urban 1","Classes 1-5","1",1,1,0,0,1,FALSE,144300,11.879649744762,9,0
"3701",80,1,"(09) Uttar Pradesh 09",3,9,"(2) another state",8000,NA,"(08) 8th class","(1) Male",49,1,"(2) Unmarried","(07) Brother/Sister",58000,14500,8000,4,24615,"(1) urban 1","Classes 6-10","2",1,0,1,0,1,TRUE,50000,10.8197782844103,9,0
"3702",10,1,"(09) Uttar Pradesh 09",3,10,"(1) same state",10000,NA,"(08) 8th class","(1) Male",35,1,"(1) Married","(03) Son/Daughter",10000,5000,10000,2,18274,"(1) urban 1","Classes 6-10","2",1,1,0,0,1,TRUE,0,0,9,0
"3703",30,1,"(09) Uttar Pradesh 09",3,10,"(3) abroad",12000,NA,"(00) none","(1) Male",47,2,"(1) Married","(02) Wife/Husband",161780,53926.6679688,62000,3,68409.3359375,"(1) urban 1","None","0",1,1,0,0,1,TRUE,149780,11.9169228298034,9,0
"3704",30,1,"(09) Uttar Pradesh 09",3,10,"(3) abroad",50000,NA,"(08) 8th class","(1) Male",24,2,"(2) Unmarried","(03) Son/Daughter",161780,53926.6679688,62000,3,68409.3359375,"(1) urban 1","Classes 6-10","2",1,0,1,0,1,TRUE,111780,11.6242879328237,9,0
"3705",50,1,"(09) Uttar Pradesh 09",3,10,"(2) another state",42000,NA,"(08) 8th class","(1) Male",55,2,"(1) Married","(02) Wife/Husband",42300,10575,42000,4,21995,"(1) urban 1","Classes 6-10","2",1,1,0,0,1,TRUE,300,5.7037824746562,9,0
"3706",50,1,"(09) Uttar Pradesh 09",3,10,"(1) same state",NA,NA,"(07) 7th class","(1) Male",15,2,"(2) Unmarried","(03) Son/Daughter",42300,10575,42000,4,21995,"(1) urban 1","Classes 6-10","2",1,0,1,0,1,FALSE,42300,10.6525423650344,9,0
"3707",60,1,"(09) Uttar Pradesh 09",3,10,"(1) same state",18000,NA,"(09) 9th class","(1) Male",24,1,"(2) Unmarried","(03) Son/Daughter",32200,6440,18000,5,14511.2001953,"(1) urban 1","Classes 6-10","2",1,0,1,0,1,TRUE,14200,9.56099724358935,9,0
"3708",100,1,"(09) Uttar Pradesh 09",3,10,"(2) another state",46000,NA,"(12) High Secondary","(1) Male",27,1,"(2) Unmarried","(03) Son/Daughter",106000,53000,46000,2,25854,"(1) urban 1","Classes 11-12","3",1,0,1,0,1,TRUE,60000,11.0020998412042,9,0
"3709",110,1,"(09) Uttar Pradesh 09",3,10,"(2) another state",12000,NA,"(00) none","(1) Male",33,3,"(2) Unmarried","(03) Son/Daughter",125000,20833.3339844,32000,6,16342.6669922,"(1) urban 1","None","0",1,0,1,0,1,TRUE,113000,11.6351430976945,9,0
"3710",110,1,"(09) Uttar Pradesh 09",3,10,"(2) another state",10000,NA,"(00) none","(1) Male",25,3,"(2) Unmarried","(03) Son/Daughter",125000,20833.3339844,32000,6,16342.6669922,"(1) urban 1","None","0",1,0,1,0,1,TRUE,115000,11.6526874073454,9,0
"3711",110,1,"(09) Uttar Pradesh 09",3,10,"(2) another state",10000,NA,"(00) none","(1) Male",21,3,"(2) Unmarried","(03) Son/Daughter",125000,20833.3339844,32000,6,16342.6669922,"(1) urban 1","None","0",1,0,1,0,1,TRUE,115000,11.6526874073454,9,0
"3712",130,1,"(09) Uttar Pradesh 09",3,10,"(2) another state",15000,NA,"(05) 5th class","(1) Male",20,3,"(2) Unmarried","(03) Son/Daughter",73300,24433.3339844,37000,3,19752.6660156,"(1) urban 1","Classes 1-5","1",1,0,1,0,1,TRUE,58300,10.9733573723386,9,0
"3713",130,1,"(09) Uttar Pradesh 09",3,10,"(2) another state",14000,NA,"(08) 8th class","(1) Male",18,3,"(2) Unmarried","(03) Son/Daughter",73300,24433.3339844,37000,3,19752.6660156,"(1) urban 1","Classes 6-10","2",1,0,1,0,1,TRUE,59300,10.9903645849858,9,0
"3714",130,1,"(09) Uttar Pradesh 09",3,10,"(2) another state",8000,NA,"(08) 8th class","(1) Male",16,3,"(2) Unmarried","(03) Son/Daughter",73300,24433.3339844,37000,3,19752.6660156,"(1) urban 1","Classes 6-10","2",1,0,1,0,1,TRUE,65300,11.0867473152645,9,0
"3715",11,1,"(09) Uttar Pradesh 09",4,1,"(1) same state",NA,60000,"(14) 2 years post-secondary","(1) Male",19,3,"(2) Unmarried","(05) Grandchild",199460,22162.2226563,NA,9,26957.7773438,"(0) rural 0","1-2 years post-secondary","4",1,0,1,0,0,FALSE,199460,12.2033689939559,9,0
"3716",11,1,"(09) Uttar Pradesh 09",4,1,"(1) same state",NA,NA,"(10) Secondary","(2) Female",28,3,"(1) Married","(04) Daughter-/Son-inlaw",199460,22162.2226563,NA,9,26957.7773438,"(0) rural 0","Classes 6-10","2",0,1,0,0,0,FALSE,199460,12.2033689939559,9,0
"3717",11,1,"(09) Uttar Pradesh 09",4,1,"(1) same state",NA,NA,"(15) Bachelors","(2) Female",28,3,"(1) Married","(04) Daughter-/Son-inlaw",199460,22162.2226563,NA,9,26957.7773438,"(0) rural 0","Bachelors","5",0,1,0,0,0,FALSE,199460,12.2033689939559,9,0
"3718",21,1,"(09) Uttar Pradesh 09",4,1,"(2) another state",2000,NA,"(13) 1 year post-secondary","(1) Male",25,1,"(1) Married","(02) Wife/Husband",72782.5,7278.25,NA,10,15539.2001953,"(0) rural 0","1-2 years post-secondary","4",1,1,0,0,0,TRUE,70782.5,11.1673670739878,9,0
"3719",31,1,"(09) Uttar Pradesh 09",4,1,"(2) another state",1500,NA,"(09) 9th class","(1) Male",27,1,"(1) Married","(02) Wife/Husband",10415,2603.75,1500,4,24618,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,TRUE,8915,9.09549053029724,9,0
"3720",32,1,"(09) Uttar Pradesh 09",4,1,"(1) same state",NA,2000,"(08) 8th class","(1) Male",18,1,"(1) Married","(03) Son/Daughter",42375,10593.75,NA,4,12800,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,FALSE,42375,10.6543138446828,9,0
"3721",82,1,"(09) Uttar Pradesh 09",4,1,"(1) same state",NA,20000,"(13) 1 year post-secondary","(1) Male",24,2,"(2) Unmarried","(03) Son/Daughter",174610,87305,NA,2,85707,"(0) rural 0","1-2 years post-secondary","4",1,0,1,0,0,FALSE,174610,12.0703101945162,9,0
"3722",82,1,"(09) Uttar Pradesh 09",4,1,"(1) same state",NA,60000,"(15) Bachelors","(2) Female",21,2,"(2) Unmarried","(03) Son/Daughter",174610,87305,NA,2,85707,"(0) rural 0","Bachelors","5",0,0,1,0,0,FALSE,174610,12.0703101945162,9,0
"3723",84,1,"(09) Uttar Pradesh 09",4,1,"(1) same state",NA,36000,"(10) Secondary","(1) Male",15,1,"(2) Unmarried","(03) Son/Daughter",126225,42075,NA,3,37352.6679688,"(0) rural 0","Classes 6-10","2",1,0,1,0,0,FALSE,126225,11.7458213077271,9,0
"3724",21,1,"(09) Uttar Pradesh 09",4,2,"(1) same state",5000,NA,"(00) none","(1) Male",21,3,"(2) Unmarried","(03) Son/Daughter",29970,5994,23000,5,15974.4003906,"(0) rural 0","None","0",1,0,1,0,0,TRUE,24970,10.1254303832738,9,0
"3725",21,1,"(09) Uttar Pradesh 09",4,2,"(2) another state",10000,NA,"(00) none","(1) Male",18,3,"(2) Unmarried","(03) Son/Daughter",29970,5994,23000,5,15974.4003906,"(0) rural 0","None","0",1,0,1,0,0,TRUE,19970,9.90198642640986,9,0
"3726",21,1,"(09) Uttar Pradesh 09",4,2,"(2) another state",8000,NA,"(00) none","(1) Male",15,3,"(2) Unmarried","(03) Son/Daughter",29970,5994,23000,5,15974.4003906,"(0) rural 0","None","0",1,0,1,0,0,TRUE,21970,9.99743316537866,9,0
"3727",41,1,"(09) Uttar Pradesh 09",4,2,"(2) another state",NA,NA,"(00) none","(1) Male",24,1,"(2) Unmarried","(03) Son/Daughter",32350,4621.4287109,NA,7,21868.5722656,"(0) rural 0","None","0",1,0,1,0,0,FALSE,32350,10.384369299929,9,0
"3728",51,1,"(09) Uttar Pradesh 09",4,2,"(2) another state",NA,15000,"(16) Above Bachelors","(1) Male",22,1,"(2) Unmarried","(03) Son/Daughter",83970,10496.25,NA,8,13771,"(0) rural 0","Above Bachelors","6",1,0,1,0,0,FALSE,83970,11.3382148711776,9,0
"3729",81,1,"(09) Uttar Pradesh 09",4,2,"(1) same state",6000,NA,"(00) none","(1) Male",18,1,"(2) Unmarried","(03) Son/Daughter",54840,7834.2856445,6000,7,20873.4277344,"(0) rural 0","None","0",1,0,1,0,0,TRUE,48840,10.7963049282246,9,0
"3730",91,1,"(09) Uttar Pradesh 09",4,2,"(2) another state",NA,NA,"(05) 5th class","(1) Male",21,1,"(2) Unmarried","(03) Son/Daughter",48230,12057.5,NA,4,17245,"(0) rural 0","Classes 1-5","1",1,0,1,0,0,FALSE,48230,10.783736513063,9,0
"3731",111,1,"(09) Uttar Pradesh 09",4,2,"(2) another state",24000,NA,"(05) 5th class","(1) Male",28,1,"(1) Married","(02) Wife/Husband",42200,10550,24000,4,10457.5,"(0) rural 0","Classes 1-5","1",1,1,0,0,0,TRUE,18200,9.80917687306489,9,0
"3732",131,1,"(09) Uttar Pradesh 09",4,2,"(2) another state",NA,10000,"(16) Above Bachelors","(2) Female",17,1,"(2) Unmarried","(05) Grandchild",221300,24588.8886719,NA,9,38786.6679688,"(0) rural 0","Above Bachelors","6",0,0,1,0,0,FALSE,221300,12.3072745260391,9,0
"3733",153,1,"(09) Uttar Pradesh 09",4,2,"(1) same state",NA,4000,"(00) none","(1) Male",15,2,"(2) Unmarried","(03) Son/Daughter",135040,22506.6660156,1500,6,21568.3339844,"(0) rural 0","None","0",1,0,1,0,0,FALSE,135040,11.8133263098298,9,0
"3734",153,1,"(09) Uttar Pradesh 09",4,2,"(1) same state",1500,NA,"(05) 5th class","(1) Male",22,2,"(1) Married","(03) Son/Daughter",135040,22506.6660156,1500,6,21568.3339844,"(0) rural 0","Classes 1-5","1",1,1,0,0,0,TRUE,133540,11.8021563374119,9,0
"3735",221,1,"(09) Uttar Pradesh 09",4,2,"(2) another state",24000,NA,"(00) none","(1) Male",24,3,"(1) Married","(02) Wife/Husband",92190,9219,54000,10,8180.7998047,"(0) rural 0","None","0",1,1,0,0,0,TRUE,68190,11.1300532055147,9,0
"3736",221,1,"(09) Uttar Pradesh 09",4,2,"(2) another state",30000,NA,"(00) none","(1) Male",17,3,"(2) Unmarried","(03) Son/Daughter",92190,9219,54000,10,8180.7998047,"(0) rural 0","None","0",1,0,1,0,0,TRUE,62190,11.0379494940979,9,0
"3737",221,1,"(09) Uttar Pradesh 09",4,2,"(1) same state",NA,NA,"(00) none","(1) Male",10,3,"(2) Unmarried","(03) Son/Daughter",92190,9219,54000,10,8180.7998047,"(0) rural 0","None","0",1,0,1,0,0,FALSE,92190,11.4316069437926,9,0
"3738",241,1,"(09) Uttar Pradesh 09",4,2,"(1) same state",NA,4000,"(07) 7th class","(1) Male",17,1,"(2) Unmarried","(03) Son/Daughter",92400,10266.6669922,NA,9,16308.444336,"(0) rural 0","Classes 6-10","2",1,0,1,0,0,FALSE,92400,11.4338822576298,9,0
"3739",291,1,"(09) Uttar Pradesh 09",4,2,"(1) same state",NA,12000,"(05) 5th class","(1) Male",15,1,"(2) Unmarried","(03) Son/Daughter",76800,12800,NA,6,34771,"(0) rural 0","Classes 1-5","1",1,0,1,0,0,FALSE,76800,11.2489599191358,9,0
"3740",341,1,"(09) Uttar Pradesh 09",4,2,"(2) another state",2000,NA,"(03) 3rd class","(1) Male",32,2,"(1) Married","(02) Wife/Husband",31770,6354,10000,5,15405.5996094,"(0) rural 0","Classes 1-5","1",1,1,0,0,0,TRUE,29770,10.3012564540098,9,0
"3741",341,1,"(09) Uttar Pradesh 09",4,2,"(2) another state",8000,NA,"(02) 2nd class","(1) Male",24,2,"(2) Unmarried","(03) Son/Daughter",31770,6354,10000,5,15405.5996094,"(0) rural 0","Classes 1-5","1",1,0,1,0,0,TRUE,23770,10.0761795603542,9,0
"3742",41,1,"(09) Uttar Pradesh 09",4,4,"(2) another state",NA,NA,"(00) none","(1) Male",14,1,"(2) Unmarried","(03) Son/Daughter",45300,9060,NA,5,9120,"(1) urban 1","None","0",1,0,1,0,1,FALSE,45300,10.7210623114711,9,0
"3743",71,1,"(09) Uttar Pradesh 09",4,4,"(2) another state",36000,NA,"(09) 9th class","(1) Male",62,1,"(1) Married","(02) Wife/Husband",49600,12400,36000,4,29944,"(1) urban 1","Classes 6-10","2",1,1,0,0,1,TRUE,13600,9.51782507172414,9,0
"3744",10,1,"(09) Uttar Pradesh 09",4,5,"(1) same state",5000,NA,"(05) 5th class","(1) Male",21,1,"(2) Unmarried","(03) Son/Daughter",6595,2198.333252,5000,3,41950,"(0) rural 0","Classes 1-5","1",1,0,1,0,0,TRUE,1595,7.37462901521894,9,0
"3745",20,1,"(09) Uttar Pradesh 09",4,5,"(1) same state",36000,NA,"(00) none","(1) Male",38,1,"(1) Married","(02) Wife/Husband",51480,7354.2856445,36000,7,5114.2856445,"(0) rural 0","None","0",1,1,0,0,0,TRUE,15480,9.64730414714372,9,0
"3746",180,1,"(09) Uttar Pradesh 09",4,5,"(2) another state",1000,NA,"(05) 5th class","(1) Male",15,2,"(2) Unmarried","(03) Son/Daughter",46360,6622.8569336,1000,7,18332.8574219,"(0) rural 0","Classes 1-5","1",1,0,1,0,0,TRUE,45360,10.7223859384016,9,0
"3747",180,1,"(09) Uttar Pradesh 09",4,5,"(2) another state",NA,NA,"(06) 6th class","(1) Male",14,2,"(2) Unmarried","(03) Son/Daughter",46360,6622.8569336,1000,7,18332.8574219,"(0) rural 0","Classes 6-10","2",1,0,1,0,0,FALSE,46360,10.7441922974537,9,0
"3748",10,1,"(09) Uttar Pradesh 09",4,6,"(3) abroad",80000,NA,"(08) 8th class","(1) Male",21,1,"(2) Unmarried","(03) Son/Daughter",2e+05,33333.3320313,80000,6,11067.3330078,"(1) urban 1","Classes 6-10","2",1,0,1,0,1,TRUE,120000,11.6952470217642,9,0
"3749",30,1,"(09) Uttar Pradesh 09",4,6,"(2) another state",72000,NA,"(10) Secondary","(1) Male",55,2,"(1) Married","(02) Wife/Husband",162750,27125,72000,6,30586.6660157,"(1) urban 1","Classes 6-10","2",1,1,0,0,1,TRUE,90750,11.4158637521271,9,0
"3750",30,1,"(09) Uttar Pradesh 09",4,6,"(1) same state",NA,NA,"(12) High Secondary","(2) Female",21,2,"(1) Married","(02) Wife/Husband",162750,27125,72000,6,30586.6660157,"(1) urban 1","Classes 11-12","3",0,1,0,0,1,FALSE,162750,11.9999705600708,9,0
"3751",50,1,"(09) Uttar Pradesh 09",4,7,"(3) abroad",25000,NA,"(00) none","(1) Male",24,2,"(2) Unmarried","(03) Son/Daughter",127500,18214.2851563,55000,7,16471.4277344,"(1) urban 1","None","0",1,0,1,0,1,TRUE,102500,11.5376180775606,9,0
"3752",50,1,"(09) Uttar Pradesh 09",4,7,"(3) abroad",30000,NA,"(08) 8th class","(1) Male",22,2,"(2) Unmarried","(03) Son/Daughter",127500,18214.2851563,55000,7,16471.4277344,"(1) urban 1","Classes 6-10","2",1,0,1,0,1,TRUE,97500,11.4876076569859,9,0
"3753",120,1,"(09) Uttar Pradesh 09",4,8,"(2) another state",NA,NA,"(14) 2 years post-secondary","(1) Male",24,1,"(2) Unmarried","(03) Son/Daughter",65100,13020,NA,5,25007.1992188,"(1) urban 1","1-2 years post-secondary","4",1,0,1,0,1,FALSE,65100,11.0836798281967,9,0
"3754",120,1,"(09) Uttar Pradesh 09",4,9,"(1) same state",90000,NA,"(16) Above Bachelors","(1) Male",41,1,"(1) Married","(02) Wife/Husband",90000,18000,90000,5,26395.1992188,"(1) urban 1","Above Bachelors","6",1,1,0,0,1,TRUE,0,0,9,0
"3755",140,1,"(09) Uttar Pradesh 09",4,9,"(1) same state",360000,NA,"(12) High Secondary","(1) Male",49,1,"(1) Married","(02) Wife/Husband",2236000,279500,360000,8,42997.5,"(1) urban 1","Classes 11-12","3",1,1,0,0,1,TRUE,1876000,14.4446524085483,9,0
"3756",40,1,"(09) Uttar Pradesh 09",4,10,"(2) another state",NA,10000,"(14) 2 years post-secondary","(2) Female",27,2,"(2) Unmarried","(03) Son/Daughter",480000,240000,NA,2,156240,"(1) urban 1","1-2 years post-secondary","4",0,0,1,0,1,FALSE,480000,13.0815413828841,9,0
"3757",40,1,"(09) Uttar Pradesh 09",4,10,"(2) another state",NA,10000,"(15) Bachelors","(2) Female",24,2,"(2) Unmarried","(03) Son/Daughter",480000,240000,NA,2,156240,"(1) urban 1","Bachelors","5",0,0,1,0,1,FALSE,480000,13.0815413828841,9,0
"3758",150,1,"(09) Uttar Pradesh 09",4,10,"(2) another state",10000,NA,"(16) Above Bachelors","(1) Male",25,1,"(2) Unmarried","(03) Son/Daughter",127000,42333.3320313,10000,3,47336.6679688,"(1) urban 1","Above Bachelors","6",1,0,1,0,1,TRUE,117000,11.6699292137799,9,0
"3759",90,1,"(09) Uttar Pradesh 09",4,11,"(2) another state",33000,NA,"(00) none","(1) Male",45,1,"(1) Married","(02) Wife/Husband",67380,13476,33000,5,32550,"(1) urban 1","None","0",1,1,0,0,1,TRUE,34380,10.4452302789368,9,0
"3760",110,1,"(09) Uttar Pradesh 09",4,11,"(1) same state",NA,2000,"(06) 6th class","(2) Female",12,1,"(2) Unmarried","(03) Son/Daughter",58000,19333.3339844,NA,3,24108,"(1) urban 1","Classes 6-10","2",0,0,1,0,1,FALSE,58000,10.9681982895286,9,0
"3761",21,1,"(09) Uttar Pradesh 09",5,1,"(1) same state",NA,15000,"(09) 9th class","(2) Female",13,1,"(2) Unmarried","(03) Son/Daughter",306200,30620,NA,10,21181.5996094,"(0) rural 0","Classes 6-10","2",0,0,1,0,0,FALSE,306200,12.6319937622057,9,0
"3762",41,1,"(09) Uttar Pradesh 09",5,1,"(1) same state",NA,1200,NA,"(1) Male",18,2,"(2) Unmarried","(03) Son/Daughter",94700,31566.6660157,65000,3,19377.3339844,"(0) rural 0",NA,NA,1,0,1,0,0,FALSE,94700,11.4584692791742,9,0
"3763",41,1,"(09) Uttar Pradesh 09",5,1,"(2) another state",65000,NA,"(03) 3rd class","(1) Male",23,2,"(2) Unmarried","(03) Son/Daughter",94700,31566.6660157,65000,3,19377.3339844,"(0) rural 0","Classes 1-5","1",1,0,1,0,0,TRUE,29700,10.2989023247908,9,0
"3764",21,1,"(09) Uttar Pradesh 09",5,3,"(1) same state",NA,20000,"(12) High Secondary","(1) Male",22,1,"(2) Unmarried","(03) Son/Daughter",178150,59383.3320313,NA,3,29697.3339844,"(0) rural 0","Classes 11-12","3",1,0,1,0,0,FALSE,178150,12.090381171034,9,0
"3765",31,1,"(09) Uttar Pradesh 09",5,3,"(1) same state",NA,36000,"(11) 11th Class","(1) Male",17,1,"(2) Unmarried","(03) Son/Daughter",31475,15737.5,NA,2,17755,"(0) rural 0","Classes 11-12","3",1,0,1,0,0,FALSE,31475,10.3569488589125,9,0
"3766",21,1,"(09) Uttar Pradesh 09",5,4,"(3) abroad",120000,NA,"(10) Secondary","(1) Male",25,2,"(2) Unmarried","(03) Son/Daughter",240000,60000,240000,4,72771.5,"(0) rural 0","Classes 6-10","2",1,0,1,0,0,TRUE,120000,11.6952470217642,9,0
"3767",21,1,"(09) Uttar Pradesh 09",5,4,"(3) abroad",120000,NA,"(12) High Secondary","(1) Male",22,2,"(2) Unmarried","(03) Son/Daughter",240000,60000,240000,4,72771.5,"(0) rural 0","Classes 11-12","3",1,0,1,0,0,TRUE,120000,11.6952470217642,9,0
"3768",30,1,"(09) Uttar Pradesh 09",5,5,"(1) same state",NA,NA,"(01) 1st class","(2) Female",7,1,"(2) Unmarried","(03) Son/Daughter",37300,6216.6665039,NA,6,11090.6669922,"(0) rural 0","Classes 1-5","1",0,0,1,0,0,FALSE,37300,10.5267486056319,9,0
"3769",80,2,"(09) Uttar Pradesh 09",5,7,"(2) another state",NA,25000,"(11) 11th Class","(1) Male",18,3,"(2) Unmarried","(03) Son/Daughter",87870,17574,5000,5,25222.4003906,"(0) rural 0","Classes 11-12","3",1,0,1,0,0,FALSE,87870,11.3836137284899,9,0
"3770",80,2,"(09) Uttar Pradesh 09",5,7,"(1) same state",5000,NA,"(05) 5th class","(1) Male",40,3,"(1) Married","(06) Father/Mother",87870,17574,5000,5,25222.4003906,"(0) rural 0","Classes 1-5","1",1,1,0,0,0,TRUE,82870,11.3250283938431,9,0
"3771",80,2,"(09) Uttar Pradesh 09",5,7,"(1) same state",NA,NA,"(00) none","(2) Female",38,3,"(1) Married","(06) Father/Mother",87870,17574,5000,5,25222.4003906,"(0) rural 0","None","0",0,1,0,0,0,FALSE,87870,11.3836137284899,9,0
"3772",90,1,"(09) Uttar Pradesh 09",5,7,"(2) another state",20000,NA,"(08) 8th class","(1) Male",25,2,"(1) Married","(02) Wife/Husband",43139,8627.7998047,35000,5,16000.4003906,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,TRUE,23139,10.0492747846021,9,0
"3773",90,1,"(09) Uttar Pradesh 09",5,7,"(2) another state",15000,NA,"(08) 8th class","(1) Male",22,2,"(2) Unmarried","(03) Son/Daughter",43139,8627.7998047,35000,5,16000.4003906,"(0) rural 0","Classes 6-10","2",1,0,1,0,0,TRUE,28139,10.2449117934342,9,0
"3774",110,1,"(09) Uttar Pradesh 09",5,7,"(2) another state",NA,NA,"(10) Secondary","(1) Male",36,2,"(1) Married","(06) Father/Mother",88525,14754.1669922,6000,6,20479,"(0) rural 0","Classes 6-10","2",1,1,0,0,0,FALSE,88525,11.3910402769801,9,0
"3775",110,1,"(09) Uttar Pradesh 09",5,7,"(2) another state",6000,NA,"(08) 8th class","(2) Female",34,2,"(1) Married","(06) Father/Mother",88525,14754.1669922,6000,6,20479,"(0) rural 0","Classes 6-10","2",0,1,0,0,0,TRUE,82525,11.3208565567214,9,0
